epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,30948.2,0.97322,0.44107,1.09727,0.97451,0.96747,0.98404,0.70856,1.09915,0.36767,1.13717,0.005545,0.005545,0.005545
65,31382.4,0.97293,0.4393,1.09645,0.97823,0.96345,0.98399,0.70784,1.09905,0.36742,1.13702,0.00547429,0.00547429,0.00547429
66,31793.6,0.97097,0.44306,1.09567,0.97878,0.96345,0.98407,0.70852,1.09898,0.36771,1.13707,0.00540357,0.00540357,0.00540357
67,309.99,0.97305,0.43462,1.09641,0.97809,0.96345,0.9841,0.70754,1.09938,0.36737,1.13729,0.00533286,0.00533286,0.00533286
68,630.136,0.97529,0.44123,1.10103,0.9782,0.96298,0.9841,0.70729,1.09936,0.36748,1.13752,0.00526214,0.00526214,0.00526214
69,966.756,0.97793,0.44284,1.10177,0.97829,0.96298,0.98408,0.70777,1.09933,0.36691,1.13753,0.00519143,0.00519143,0.00519143
70,1302.56,0.9691,0.43667,1.09457,0.97903,0.96262,0.98406,0.70778,1.09917,0.36713,1.13775,0.00512071,0.00512071,0.00512071
71,1638.47,0.97284,0.4394,1.09441,0.97869,0.96251,0.98403,0.70814,1.0994,0.36708,1.13778,0.00505,0.00505,0.00505
72,1974.75,0.96528,0.43467,1.09344,0.97996,0.96218,0.98402,0.70768,1.09956,0.36699,1.13769,0.00497929,0.00497929,0.00497929
73,2307.91,0.96991,0.43756,1.09755,0.97998,0.96157,0.98406,0.70757,1.09991,0.36711,1.13804,0.00490857,0.00490857,0.00490857
74,2641.01,0.9627,0.43508,1.09476,0.98135,0.96141,0.98409,0.7079,1.09963,0.36718,1.13803,0.00483786,0.00483786,0.00483786
75,2973.15,0.96672,0.43351,1.09378,0.98086,0.96077,0.98411,0.70806,1.09982,0.36756,1.13827,0.00476714,0.00476714,0.00476714
76,3306.75,0.95422,0.43081,1.08887,0.97497,0.96722,0.98405,0.7082,1.09998,0.36765,1.13854,0.00469643,0.00469643,0.00469643
77,3641.25,0.95421,0.43106,1.08905,0.97451,0.9674,0.98388,0.70739,1.10035,0.36762,1.13867,0.00462571,0.00462571,0.00462571
78,3973.36,0.95724,0.4291,1.08751,0.97452,0.96813,0.98381,0.70833,1.10052,0.36739,1.13881,0.004555,0.004555,0.004555
79,4307.19,0.95513,0.42777,1.08553,0.97517,0.96813,0.98409,0.7083,1.10083,0.3673,1.13904,0.00448429,0.00448429,0.00448429
80,4639.66,0.95815,0.42756,1.08943,0.9759,0.96778,0.98411,0.70806,1.10082,0.3672,1.1391,0.00441357,0.00441357,0.00441357
81,4972.54,0.95164,0.42349,1.08266,0.97636,0.9679,0.98414,0.70852,1.10103,0.36712,1.13917,0.00434286,0.00434286,0.00434286
82,5294.82,0.95012,0.42327,1.08289,0.97659,0.96767,0.98417,0.70873,1.10077,0.36656,1.139,0.00427214,0.00427214,0.00427214
83,5631.67,0.94537,0.42536,1.08188,0.97674,0.96907,0.98439,0.70898,1.10127,0.36611,1.13937,0.00420143,0.00420143,0.00420143
